Compound,Exposure Category,Primary Source,Secondary Source(s),Value
Benzoic acid,Agricultural Chemicals,Food preservatives,Cosmetics and Fragrances,305303
4-Nitrophenol,Agricultural Chemicals,Environmental contamination,,
Isodrin,Agricultural Chemicals,Environmental contamination,,
(E)-Fenpyroximate,Agricultural Chemicals,Food,,
Benzoximate,Agricultural Chemicals,Food,,
Bifenazate,Agricultural Chemicals,Food,,877.5638
Clofentezine,Agricultural Chemicals,Food,Soil contamination,
Etoxazole,Agricultural Chemicals,Food,Water contamination,913.9278
Fenazaquin,Agricultural Chemicals,Food,,0
Hexythiazox,Agricultural Chemicals,Food,,
Spirodiclofen,Agricultural Chemicals,Food,Water contamination,0
Tebufenpyrad,Agricultural Chemicals,Occupational,Food,0
Bupirimate,Agricultural Chemicals,Food,,524.0424
Metalaxyl,Agricultural Chemicals,Food,Water contamination,81178.87
Oxadixyl,Agricultural Chemicals,Food,,
Benalaxyl,Agricultural Chemicals,Food,"Water contamination, soil contamination",18231815
Furalaxyl,Agricultural Chemicals,Food,,
Chlorantraniliprole,Agricultural Chemicals,Food,,
Flubendiamide,Agricultural Chemicals,Food,,
Abamectin,Agricultural Chemicals,Food,Water contamination,
Doramectin,Agricultural Chemicals,Occupational,,
Emamectin-benzoate,Agricultural Chemicals,Food,Water contamination,
Moxidectin,Agricultural Chemicals,Occupational,,
Zoxamide,Agricultural Chemicals,Food,Water contamination,
Acibenzolar-S-methyl,Agricultural Chemicals,Food,Water contamination,
Chlorfluazuron,Agricultural Chemicals,Food,Water contamination,
Diflubenzuron,Agricultural Chemicals,Food,Water contamination,
Flufenoxuron,Agricultural Chemicals,Food,Water contamination,0.002914
Hexaflumuron,Agricultural Chemicals,Food,"Water contamination, soil contamination",
Novaluron,Agricultural Chemicals,Food,,
Teflubenzuron,Agricultural Chemicals,Food,,
Triflumuron,Agricultural Chemicals,Food,Water contamination,
Iprovalicarb,Agricultural Chemicals,Food,Water contamination,
Propamocarb (free base),Agricultural Chemicals,Food,Water contamination,5749.572
Aminocarb,Agricultural Chemicals,Food,Water contamination,
Benfuracarb,Agricultural Chemicals,Food,Water contamination,
Fenobucarb (BPMC),Agricultural Chemicals,Food,Water contamination,
Formetanate HCL,Agricultural Chemicals,Food,Water contamination,
Furathiocarb,Agricultural Chemicals,Food,Water contamination,4635.509
Oxamyl,Agricultural Chemicals,Food,Water contamination,661.1789
Pirimicarb,Agricultural Chemicals,Food,Water contamination,5281.011
Propoxur (Baygon),Agricultural Chemicals,Food,"Water contamination, commercial building insecticide",38558.5
Thiofanox,Agricultural Chemicals,Food,Water contamination,
Cymoxanil,Agricultural Chemicals,Food,,
Methoxyfenozide,Agricultural Chemicals,Food,,23829.26
Tebufenozide,Agricultural Chemicals,Food,,385.651
Amitraz,Agricultural Chemicals,Food,,
Carbendazim,Agricultural Chemicals,Food,,58.40585
Thiabendazole,Agricultural Chemicals,Soil contamination,Water contamination,4334.039
Fenhexamid,Agricultural Chemicals,Air contamination,Occupational,
Imazalil,Agricultural Chemicals,Food,,0
Mandipropamid,Agricultural Chemicals,Food,,
Fenpropimorph,Agricultural Chemicals,Food,,
Fludioxonil,Agricultural Chemicals,Food,,
Fenarimol,Agricultural Chemicals,Food,,0
Nuarimol,Agricultural Chemicals,Food,,
Spiroxamine,Agricultural Chemicals,Food,Occupational,530.918
Thiophanate-methyl,Agricultural Chemicals,Food,,165.3663
Baycor (Bitertanol),Agricultural Chemicals,Food,,
Bromuconazole,Agricultural Chemicals,Food,,
Cyproconazole,Agricultural Chemicals,Food,Water contamination,1785.44
Diclobutrazol,Agricultural Chemicals,Food,,0
Difenoconazole,Agricultural Chemicals,Food,,
Diniconazole,Agricultural Chemicals,Food,,
Epoxiconazole,Agricultural Chemicals,Food,,
Fenbuconazole,Agricultural Chemicals,Food,"Water contamination, soil contamination",
Fluquinconazole,Agricultural Chemicals,Food,,
Flusilazole,Agricultural Chemicals,Food,,9428.732
Flutriafol,Agricultural Chemicals,Food,Water contamination,19561.05
Hexaconazole,Agricultural Chemicals,Food,Environmental contamination,
Ipconazole,Agricultural Chemicals,Food,,
Metconazole,Agricultural Chemicals,Food,Environmental contamination,
Myclobutanil,Agricultural Chemicals,Food,,983.6629
Paclobutrazol,Agricultural Chemicals,Food,,
Penconazole,Agricultural Chemicals,Occupational,,0
Propiconazole (Tilt),Agricultural Chemicals,Environmental contamination,,
Prothioconazole,Agricultural Chemicals,Food,,
Tebuconazole,Agricultural Chemicals,Food,Treated wood,5461.105
Tetraconazole,Agricultural Chemicals,Food,,
Triadimefon,Agricultural Chemicals,Food,Water contamination,2287.197
Triadimenol,Agricultural Chemicals,Environmental contamination,,0
Triticonazole,Agricultural Chemicals,Food,,
Boscalid,Agricultural Chemicals,Food,Water contamination,0
Carboxin,Agricultural Chemicals,Food,Water contamination,
Cyazofamid,Agricultural Chemicals,Food,,
Dimethomorph,Agricultural Chemicals,Food,"Water contamination, occupational",
Ethirimol,Agricultural Chemicals,Food,,
Fenamidone,Agricultural Chemicals,Food,,
Fluazinam,Agricultural Chemicals,Food,,
Flutolanil,Agricultural Chemicals,Food,,
Mepanipyrim,Agricultural Chemicals,Food,,0
Monceren (Pencycuron),Agricultural Chemicals,Food,,31364.05
Pyracarbolid,Agricultural Chemicals,Food,,
Pyrimethanil,Agricultural Chemicals,Food,,
